Course Title,Credits,Prerequisites,Concurrent Enrollment,Major
ACCT 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 3060 - Accounting and Business Consulting,Credit(s): 3 Credits,"ACCT 2200, BIZ 1002",NaN,Accounting (ACCT)
ACCT 3110 - Financial Reporting I,Credit(s): 3 Credits,ACCT 2200,NaN,Accounting (ACCT)
ACCT 3160 - International Accounting for Global Organizations,Credit(s): 3 Credits,ACCT 2200,NaN,Accounting (ACCT)
ACCT 3220 - Cost Management,Credit(s): 3 Credits,"ACCT 2220, BTM 2500",NaN,Accounting (ACCT)
ACCT 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 4110 - Financial Reporting II,Credit(s): 3 Credits,ACCT 3110,NaN,Accounting (ACCT)
ACCT 4200 - Accounting Data Analytics,Credit(s): 3 Credits,ACCT 4110,NaN,Accounting (ACCT)
ACCT 4250 - Accounting Information Systems,Credit(s): 3 Credits,"ACCT 3110, BTM 2000",NaN,Accounting (ACCT)
ACCT 4300 - Federal Income Tax I,Credit(s): 3 Credits,ACCT 3110,NaN,Accounting (ACCT)
ACCT 4400 - Auditing,Credit(s): 3 Credits,"ACCT 4110, ACCT 4250",Concurrent enrollment allowed.,Accounting (ACCT)
ACCT 4910 - Accounting Internship,Credit(s): 1-3 Credits (Repeatable for credit),"ACCT 3110, BTM 2500, BIZ 3000",NaN,Accounting (ACCT)
ACCT 4930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 4980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 5010 - Accounting for Managers,Credit(s): 3 Credits,NaN,NaN,Accounting (ACCT)
ACCT 5901 - Masters in Accounting Study Abroad,Credit(s): 3 Credits,ACCT 4110,NaN,Accounting (ACCT)
ACCT 5910 - Masters in Accounting Internship,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 5930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),ACCT 4400,NaN,Accounting (ACCT)
ACCT 5980 - Graduate Reading Course,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 6030 - Contemporary Financial Reporting,Credit(s): 3 Credits,"ACCT 4110, ACCT 5010",NaN,Accounting (ACCT)
ACCT 6110 - Financial Reporting III,Credit(s): 3 Credits,ACCT 4110,NaN,Accounting (ACCT)
ACCT 6160 - International Accounting,Credit(s): 3 Credits,ACCT 5010,NaN,Accounting (ACCT)
ACCT 6190 - Financial Statement Analysis,Credit(s): 3 Credits,ACCT 4110,NaN,Accounting (ACCT)
ACCT 6200 - Accounting Data Analytics,Credit(s): 3 Credits,ACCT 4110,NaN,Accounting (ACCT)
ACCT 6320 - Fed Income Tax: Flow-Thru Ent,Credit(s): 3 Credits,ACCT 4300,NaN,Accounting (ACCT)
ACCT 6340 - Fed Income Tax: Corp,Credit(s): 3 Credits,ACCT 4300,NaN,Accounting (ACCT)
ACCT 6350 - State and Local Taxation,Credit(s): 3 Credits,ACCT 4300,NaN,Accounting (ACCT)
ACCT 6380 - Wealth Preservation,Credit(s): 3 Credits,ACCT 4300,NaN,Accounting (ACCT)
ACCT 6390 - International Taxation,Credit(s): 3 Credits,ACCT 6340,NaN,Accounting (ACCT)
ACCT 6440 - Advanced Audit,Credit(s): 3 Credits,ACCT 4400,NaN,Accounting (ACCT)
"ACCT 6450 - Accounting Ethics, Fraud and Forensic Accounting",Credit(s): 3 Credits,ACCT 4400,NaN,Accounting (ACCT)
ACCT 6850 - Accounting Capstone,Credit(s): 3 Credits,NaN,NaN,Accounting (ACCT)
ACCT 6930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
ACCT 6980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Accounting (ACCT)
AENG 1001 - Introduction to Aerospace & Mechanical Engineering,Credit(s): 1 Credit,NaN,NaN,Aerospace Engineering (AENG)
AENG 1002 - Computer-Aided Engineering Design,Credit(s): 1 Credit,NaN,NaN,Aerospace Engineering (AENG)
AENG 2000 - Intro to Aeronautics & Astron,Credit(s): 3 Credits,"AENG 1002, MENG 1002, PHYS 1610",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 2020 - Introduction to Aero and Astro Engineering,Credit(s): 1 Credit,,NaN,Aerospace Engineering (AENG)
AENG 2910 - Co-op with Industry,Credit(s): 1-3 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 2930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 3000 - Performance,Credit(s): 3 Credits,"AENG 2000, AENG 2020",NaN,Aerospace Engineering (AENG)
AENG 3050 - Design of Space Missions,Credit(s): 3 Credits,AENG 3150,Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 3100 - Computer Aided Engineering,Credit(s): 3 Credits,CSCI 1060,NaN,Aerospace Engineering (AENG)
AENG 3150 - Astrodynamics,Credit(s): 3 Credits,"AENG 2000, AENG 2020",NaN,Aerospace Engineering (AENG)
AENG 3230 - Compressible Flow,Credit(s): 3 Credits,"MENG 3200, MENG 2310, MATH 3270",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 3240 - Aerodynamics and Boundary Layer Flow,Credit(s): 3 Credits,"AENG 3230, MATH 3270",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 3410 - Analysis and Control of Linear Systems,Credit(s): 3 Credits,MENG 3110,NaN,Aerospace Engineering (AENG)
AENG 3910 - Co-op with Industry,Credit(s): 1-3 Credits (Repeatable for credit),AENG 2910,NaN,Aerospace Engineering (AENG)
AENG 3915 - Internship with Industry,Credit(s): 1-3 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 4004 - Flight Vehicle Analysis and Design I,Credit(s): 3 Credits,"AENG 3000, AENG 4400",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 4014 - Flight Vehicle Analysis and Design II,Credit(s): 3 Credits,AENG 4004,NaN,Aerospace Engineering (AENG)
AENG 4050 - Space Mission Analysis and Design,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 4110 - Flight Vehicle Structures,Credit(s): 3 Credits,AENG 3100,Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 4111 - Aerospace Laboratory,Credit(s): 1 Credit,"AENG 3000, AENG 4110",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 4140 - Hypersonics,Credit(s): 3 Credits,,NaN,Aerospace Engineering (AENG)
AENG 4150 - Orbital Mechanics,Credit(s): 3 Credits,AENG 3150,NaN,Aerospace Engineering (AENG)
AENG 4210 - Propulsion,Credit(s): 3 Credits,AENG 3230,NaN,Aerospace Engineering (AENG)
AENG 4230 - Intro to Comp. Fluid Dynamics,Credit(s): 3 Credits,,NaN,Aerospace Engineering (AENG)
AENG 4400 - Stability and Control,Credit(s): 3 Credits,"AENG 3000, AENG 3410",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 4410 - Flight Simulation,Credit(s): 3 Credits,AENG 4400,NaN,Aerospace Engineering (AENG)
AENG 4700 - Aeroelasticity,Credit(s): 3 Credits,AENG 4110,NaN,Aerospace Engineering (AENG)
AENG 4800 - Systems Engineering,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 4910 - Co-op with Industry,Credit(s): 0 Credits (Repeatable for credit),AENG 3910,NaN,Aerospace Engineering (AENG)
AENG 4915 - Internship with Industry,Credit(s): 1-3 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,Aerospace Engineering (AENG)
AENG 4930 - Special Topics in Aerospace Engineering,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 4980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 5009 - Seminar,Credit(s): 1 Credit (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 5050 - Space Mission Analysis and Design,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5150 - Orbital Mechanics,Credit(s): 3 Credits,AENG 3150,NaN,Aerospace Engineering (AENG)
AENG 5230 - Introduction to Computational Fluid Dynamics,Credit(s): 3 Credits,,NaN,Aerospace Engineering (AENG)
AENG 5240 - Hypersonics,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5260 - Unsteady Aerodynamics of Bluff Bodies,Credit(s): 3 Credits,,NaN,Aerospace Engineering (AENG)
AENG 5280 - Applied Aerodynamics,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
"AENG 5400 - Guidance, Navigation and Estimation for Dynamic Vehicles",Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5410 - Flight Simulation,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5460 - Modern Control Systems,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5470 - Advanced Control Systems,Credit(s): 3 Credits,AENG 5460,NaN,Aerospace Engineering (AENG)
AENG 5700 - Aeroelasticity,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5850 - Space Mission Failures,Credit(s): 3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5910 - Co-op with Industry,Credit(s): 1-6 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5915 - Internship with Industry,Credit(s): 1-3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 5964 - Masters Project,Credit(s): 1-3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5974 - Research Topics,Credit(s): 1-3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 5980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 5984 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 5994 - Masters Thesis Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 6910 - Co-op with Industry,Credit(s): 1-6 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 6915 - Internship with Industry,Credit(s): 1-3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 6930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 6974 - Research Topics,Credit(s): 1-3 Credits,NaN,NaN,Aerospace Engineering (AENG)
AENG 6980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 6984 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AENG 6994 - Doctoral Dissertation Research,Credit(s): 0-6 Credits (Repeatable for credit),NaN,NaN,Aerospace Engineering (AENG)
AES 1010 - Heritage and Values of the United States Air Force 1,Credit(s): 2 Credits,NaN,NaN,Aerospace Studies (AES)
AES 1020 - Heritage and Values of the United States Air Force 2,Credit(s): 2 Credits,NaN,NaN,Aerospace Studies (AES)
AES 2010 - Team and Leadership Fundamentals 1,Credit(s): 2 Credits,NaN,NaN,Aerospace Studies (AES)
AES 2020 - Team and Leadership Fundamentals 2,Credit(s): 2 Credits,NaN,NaN,Aerospace Studies (AES)
AES 2220 - Special Topics,Credit(s): 0 Credits (Repeatable for credit),NaN,NaN,Aerospace Studies (AES)
AES 2980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Studies (AES)
AES 3010 - Leading People and Effective Communication 1,Credit(s): 3 Credits,"AES 1010, AES 2010",NaN,Aerospace Studies (AES)
AES 3020 - Leading People and Effective Communication 2,Credit(s): 3 Credits,NaN,NaN,Aerospace Studies (AES)
AES 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Studies (AES)
AES 3980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Studies (AES)
AES 4010 - National Security Affairs / Preparation for Active Duty,Credit(s): 1-3 Credits,NaN,NaN,Aerospace Studies (AES)
AES 4020 - Preparation for Active Duty,Credit(s): 3 Credits,NaN,NaN,Aerospace Studies (AES)
AES 4930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Studies (AES)
AES 4980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,Aerospace Studies (AES)
AAM 2000 - Freedom Dreams: Intro to African American Studies,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2010 - Contemporary Black America,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2120 - Survey of Art in Africa,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2120X - Art in Africa,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2220 - Introduction to African-American Art,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2220X - African American Art,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2320X - Art of the African Diaspora,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2500X - Intergroup Dialogue,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2520 - Intro to African Politics,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
"AAM 2570 - Race, Gender, and Health Care",Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2800 - Making the Carceral State: The History of Mass Incarceration,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2900 - Intergroup Dialogue: Black Male Identity,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 2930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 2980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 3200 - Cultures of the African Diaspora,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3240 - History of Africa since 1884,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3250 - Critical History of African American Education,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3270 - Dismantling Oppression: Exploring Equity & Inclusion,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3300X - African American Literary Traditions II: After 1900,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3310X - Intercultural Communication,Credit(s): 3 Credits,,NaN,African American Studies (AAM)
AAM 3330X - Literature of the African Diaspora,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3350 - African American Religious Traditions,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3360 - Race & Ethnicity,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3510 - Theoretical Foundations of African American Studies,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3610 - Civil Rights in America,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 3730 - African Diaspora Writing,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 3910 - Internship,Credit(s): 1-6 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,African American Studies (AAM)
AAM 3913 - Atlas Internship,Credit(s): 1-6 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,African American Studies (AAM)
AAM 3930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 3980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 4000 - Field Service - Community Activism in St. Louis High Schools,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4200 - History of African American Cinema,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4320X - Communicating Across Racial Divisions,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4330 - Psychology of Oppression,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4340 - African American Psychology,Credit(s): 3 Credits,PSY 1010,NaN,African American Studies (AAM)
AAM 4350X - Stereotyping and Bias in the Mass Media,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4380 - POST 1900 AMERICAN LITERATURE,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4800 - Civil Rights Era/Leaders,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4810 - Philosophy and Race,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4890 - Language and Black Womanhood,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4910 - Internship,Credit(s): 1-6 Credits (Repeatable for credit),"CORE 1000, CORE 1500",Concurrent enrollment allowed.,African American Studies (AAM)
AAM 4930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 4960 - Capstone Course,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4970 - Research Methods in African American Studies,Credit(s): 3 Credits,NaN,NaN,African American Studies (AAM)
AAM 4980 - Advanced Independent Study: Research,Credit(s): 3 Credits (Repeatable for credit),,NaN,African American Studies (AAM)
AAM 5930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
AAM 5980 - Independent Study,Credit(s): 1 or 3 Credits (Repeatable for credit),NaN,NaN,African American Studies (AAM)
"ASTD 1000 - Intro to American Culture: Movements, Myths, and Methods",Credit(s): 0 or 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 1930 - Special Topics,Credit(s): 1-4 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 1980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 2100 - Studies in American Photography,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
"ASTD 2200 - American Homefronts, Global Wars",Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 2300 - Americans Abroad,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 2400 - Immigration in U.S. History and Culture,Credit(s): 0 or 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 2500 - American Identities,Credit(s): 3 Credits (Repeatable up to 9 credits),NaN,NaN,American Studies (ASTD)
ASTD 2600 - American Places,Credit(s): 0 or 3 Credits (Repeatable up to 9 credits),NaN,NaN,American Studies (ASTD)
"ASTD 2650 - American Metropolis: Place, Policy, & Power in the US City, 1945–Present",Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
"ASTD 2700 - Gender, Race, and Social Justice",Credit(s): 0 or 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 2800 - Sports in American Culture,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 2880 - Race and Citizenship in St. Louis History and Culture,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 2930 - Special Topics,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 2980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 3000 - American Decades,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 3020 - American Mosaic: Literature & Diversity,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3030 - History and Fiction,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 3040 - Religion and U.S. Global Activism,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3050 - American Soundscapes,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 3100 - Making the American City,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3200 - The Urban Crisis,Credit(s): 0 or 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3300 - Workshop in the City,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3400 - American Incarceration,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3500 - Religion & American Culture,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3550 - Introduction to Museum Studies,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3600 - American Food and Cultures,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3700 - America in the Global Age,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3800 - Women's Lives,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3900 - Multiracial America,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3910 - Internship in American Studies,Credit(s): 1-3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 3930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 3980 - Independent Study,Credit(s): 1-3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 4930 - Special Topics,Credit(s): 3 Credits (Repeatable up to 12 credits),NaN,NaN,American Studies (ASTD)
ASTD 4960 - Senior Workshop: Crafting the American Studies Thesis,Credit(s): 3 Credits,,NaN,American Studies (ASTD)
ASTD 4980 - Advanced Independent Study,Credit(s): 0-3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 5000 - Perspectives in American Studies,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
"ASTD 5010 - African American Politics, Culture & Identity",Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 5020 - Frontiers & Borderlands: Contact & Conquest in the American Imagination,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 5050 - Public Humanities,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 5700 - Metropolitan America,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 5900 - Practice of American Studies,Credit(s): 3 Credits,NaN,NaN,American Studies (ASTD)
ASTD 5910 - Graduate Internship,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
ASTD 5930 - Special Topics,Credit(s): 3 Credits (Repeatable for credit),NaN,NaN,American Studies (ASTD)
